message_id,conversation_id,topic,timestamp,labeler_id,confidence
1,1,Greetings,2025-02-09T22:24:00Z,system,0.9
2,1,Greetings,2025-02-09T22:24:00Z,system,0.9
3,2,Super Bowl Discussion,2025-02-09T22:28:00Z,system,0.95
4,2,Super Bowl Discussion,2025-02-09T22:29:00Z,system,0.95
5,2,Super Bowl Discussion,2025-02-09T22:32:00Z,system,0.95
6,3,Crypto Market Weekly Update,2025-02-09T22:50:00Z,system,1.0
7,4,New Member Introduction - Lexy,2025-02-09T22:59:00Z,system,0.95
8,4,New Member Introduction - Lexy,2025-02-09T22:59:00Z,system,0.95
9,4,New Member Introduction - Lexy,2025-02-09T22:59:00Z,system,0.95
10,4,New Member Introduction - Lexy,2025-02-09T22:59:00Z,system,0.95
11,4,New Member Introduction - Lexy,2025-02-09T23:00:00Z,system,0.95
12,4,New Member Introduction - Lexy,2025-02-09T23:01:00Z,system,0.95
13,4,New Member Introduction - Lexy,2025-02-09T23:02:00Z,system,0.95
14,4,New Member Introduction - Lexy,2025-02-09T23:02:00Z,system,0.95
15,4,New Member Introduction - Lexy,2025-02-09T23:03:00Z,system,0.95
16,1,Greetings,2025-02-09T23:21:00Z,system,0.9
17,3,Crypto Market Weekly Update Feedback,2025-02-09T23:23:00Z,system,0.95
18,3,Crypto Market Weekly Update Feedback,2025-02-09T23:25:00Z,system,0.95
19,3,Crypto Market Weekly Update Feedback,2025-02-09T23:29:00Z,system,0.95
20,3,Crypto Market Weekly Update Feedback,2025-02-09T23:31:00Z,system,0.95
21,2,Super Bowl Discussion,2025-02-10T00:42:00Z,system,0.95
22,2,Super Bowl Discussion,2025-02-10T00:43:00Z,system,0.95
23,2,Super Bowl Discussion,2025-02-10T01:19:00Z,system,0.95
24,2,Super Bowl Discussion,2025-02-10T01:52:00Z,system,0.95
25,2,Super Bowl Discussion,2025-02-10T02:24:00Z,system,0.95
26,2,Super Bowl Discussion,2025-02-10T04:32:00Z,system,0.95
27,5,CoinMarketCap Post Discussion,2025-02-10T04:45:00Z,system,0.95
