message_id,conversation_id,topic,timestamp,labeler_id,confidence
40001,1,ETC Price Predictions,2025-01-08 01:36:00,1,0.95
40002,1,ETC Price Predictions,2025-01-08 01:43:00,1,0.95
40003,1,ETC Price Predictions,2025-01-08 01:43:00,1,0.95
40004,1,ETC Price Predictions,2025-01-08 01:46:00,1,0.95
40005,1,ETC Price Predictions,2025-01-08 04:52:00,1,0.95
40006,1,ETC Price Predictions,2025-01-08 12:33:00,1,0.95
40007,0,Spam Messages,2025-01-10 10:17:00,1,0.99
40008,0,Spam Messages,2025-01-11 01:52:00,1,0.99
40009,0,Spam Messages,2025-01-13 10:42:00,1,0.99
40010,1,ETC Price Predictions,2025-01-16 16:24:00,1,0.95
40011,1,ETC Price Predictions,2025-01-16 18:26:00,1,0.95
40012,2,ETC Burning Plan,2025-01-16 21:15:00,1,0.95
40013,2,ETC Burning Plan,2025-01-16 22:24:00,1,0.95
40014,0,Spam Messages,2025-01-17 23:21:00,1,0.99
40015,0,Spam Messages,2025-01-18 05:47:00,1,0.99
40016,0,Spam Messages,2025-01-19 16:19:00,1,0.99
40017,0,Spam Messages,2025-01-20 13:22:00,1,0.99
40018,0,Spam Messages,2025-01-20 13:30:00,1,0.99
40019,3,ETC Wallet Recovery,2025-01-20 17:41:00,1,0.95
40020,0,Spam Messages,2025-01-21 01:04:00,1,0.99
40021,4,ETHdenver 2025 Attendance,2025-01-21 03:28:00,1,0.95
40022,3,ETC Wallet Recovery,2025-01-21 15:21:00,1,0.95
40023,5,Squirrel Wallet Support,2025-01-21 23:49:00,1,0.95
40024,0,Spam Messages,2025-01-21 23:51:00,1,0.99
40025,0,Spam Messages,2025-01-25 01:08:00,1,0.99
40026,0,Spam Messages,2025-01-25 11:00:00,1,0.99
40027,6,ETC Development Hackathon,2025-01-25 17:21:00,1,0.95
40028,6,ETC Development Hackathon,2025-01-25 18:59:00,1,0.95
40029,0,Spam Messages,2025-01-25 19:00:00,1,0.99
40030,6,ETC Development Hackathon,2025-01-25 19:14:00,1,0.95
40031,6,ETC Development Hackathon,2025-01-26 14:11:00,1,0.95
40032,0,Spam Messages,2025-01-26 17:28:00,1,0.99
40033,1,ETC Price Predictions,2025-01-26 19:06:00,1,0.95
40034,1,ETC Price Predictions,2025-01-27 12:43:00,1,0.95
40035,0,Spam Messages,2025-01-27 13:08:00,1,0.99
40036,0,Spam Messages,2025-01-27 18:50:00,1,0.99
40037,6,ETC Development Hackathon,2025-01-27 23:32:00,1,0.95
40038,7,ETC Transaction Confirmations,2025-01-28 20:36:00,1,0.95
40039,7,ETC Transaction Confirmations,2025-01-28 21:27:00,1,0.95
40040,7,ETC Transaction Confirmations,2025-01-28 21:29:00,1,0.95
40041,7,ETC Transaction Confirmations,2025-01-28 22:42:00,1,0.95
40042,7,ETC Transaction Confirmations,2025-01-28 22:42:00,1,0.95
40043,7,ETC Transaction Confirmations,2025-01-28 22:48:00,1,0.95
40044,0,Spam Messages,2025-01-28 22:48:00,1,0.99
40045,7,ETC Transaction Confirmations,2025-01-29 08:39:00,1,0.95
40046,0,Spam Messages,2025-01-30 01:02:00,1,0.99
40047,0,Spam Messages,2025-01-30 01:04:00,1,0.99
40048,0,Spam Messages,2025-01-30 10:28:00,1,0.99
