message_id,conversation_id,topic,timestamp,labeler_id,confidence
40001,1,ETC Price Predictions and Market Movement,2025-01-08 01:36:00,system,0.9
40002,1,ETC Price Predictions and Market Movement,2025-01-08 01:43:00,system,0.9
40003,1,ETC Price Predictions and Market Movement,2025-01-08 01:43:00,system,0.8
40004,1,ETC Price Predictions and Market Movement,2025-01-08 01:46:00,system,0.9
40005,1,ETC Price Predictions and Market Movement,2025-01-08 04:52:00,system,0.9
40006,1,ETC Price Predictions and Market Movement,2025-01-08 12:33:00,system,0.9
40007,2,Scammer Warning,2025-01-10 10:17:00,system,0.9
40008,0,Spam Messages,2025-01-11 01:52:00,system,0.8
40009,3,ETC News Bot Announcement,2025-01-13 10:42:00,system,1.0
40010,1,ETC Price Predictions and Market Movement,2025-01-16 16:24:00,system,0.8
40011,1,ETC Price Predictions and Market Movement,2025-01-16 18:26:00,system,0.7
40012,4,ETC Tokenomics Discussion,2025-01-16 21:15:00,system,0.9
40013,4,ETC Tokenomics Discussion,2025-01-16 22:24:00,system,0.9
40014,0,Spam Messages,2025-01-17 23:21:00,system,0.8
40015,0,Spam Messages,2025-01-18 05:47:00,system,0.9
40016,0,Spam Messages,2025-01-19 16:19:00,system,0.8
40017,0,Spam Messages,2025-01-20 13:22:00,system,0.8
40018,0,Spam Messages,2025-01-20 13:30:00,system,0.8
40019,5,Wallet Recovery Support,2025-01-20 17:41:00,system,0.9
40020,2,Scammer Warning,2025-01-21 01:04:00,system,0.9
40021,6,ETHDenver 2025 Attendance,2025-01-21 03:28:00,system,1.0
40022,5,Wallet Recovery Support,2025-01-21 15:21:00,system,0.9
40023,7,Squirrel Wallet Support Inquiry,2025-01-21 23:49:00,system,1.0
40024,3,ETC News Bot Announcement,2025-01-21 23:51:00,system,1.0
40025,0,Spam Messages,2025-01-25 01:08:00,system,0.8
40026,0,Spam Messages,2025-01-25 11:00:00,system,0.8
40027,8,ETC Development Hackathon Announcement,2025-01-25 17:21:00,system,0.9
40028,8,ETC Development Hackathon Announcement,2025-01-25 18:59:00,system,0.9
40029,0,Spam Messages,2025-01-25 19:00:00,system,0.8
40030,8,ETC Development Hackathon Announcement,2025-01-25 19:14:00,system,0.9
40031,0,Spam Messages,2025-01-26 14:11:00,system,0.7
