message_id,conversation_id,topic,timestamp,labeler_id,confidence
1,1,TV ad discussion,2024-03-05T19:46:00Z,1,0.9
2,2,ChatDKG vs ChatGPT misinformation,2024-03-05T23:27:00Z,1,0.95
3,2,DKG content verification,2024-03-05T23:58:00Z,1,0.95
4,2,DKG misinformation costs,2024-03-06T00:03:00Z,1,0.95
5,2,Climate change studies and DKG,2024-03-06T00:04:00Z,1,0.9
6,2,ChatGPT information verification,2024-03-06T00:04:00Z,1,0.9
7,2,DKG structure,2024-03-06T00:05:00Z,1,0.9
8,2,DKG misinformation costs,2024-03-06T00:05:00Z,1,0.9
9,2,Climate change studies and DKG,2024-03-06T00:05:00Z,1,0.9
10,1,TV ad discussion,2024-03-06T00:20:00Z,1,0.9
11,1,TV ad discussion,2024-03-06T00:41:00Z,1,0.9
12,1,TV ad discussion,2024-03-06T00:51:00Z,1,0.9
13,1,TV ad discussion,2024-03-06T00:53:00Z,1,0.9
14,1,TV ad discussion,2024-03-06T01:05:00Z,1,0.9
15,1,TV ad discussion,2024-03-06T01:05:00Z,1,0.9
16,2,Climate change studies and DKG,2024-03-06T02:35:00Z,1,0.9
17,2,DKG data access,2024-03-06T02:47:00Z,1,0.9
18,0,Spam Messages,2024-03-06T04:42:00Z,1,1.0
19,0,Spam Messages,2024-03-06T04:50:00Z,1,1.0
20,3,Ecosystem partnerships,2024-03-06T09:33:00Z,1,0.95
21,3,Ecosystem partnerships,2024-03-06T08:36:00Z,1,0.95
22,3,Ecosystem partnerships,2024-03-06T08:51:00Z,1,0.95
23,4,OriginTrail use cases,2024-03-06T10:42:00Z,1,0.9
24,4,OriginTrail use cases,2024-03-06T11:44:00Z,1,0.9
25,4,OriginTrail use cases,2024-03-06T11:47:00Z,1,0.9
26,4,OriginTrail use cases,2024-03-06T11:53:00Z,1,0.9
27,4,OriginTrail use cases,2024-03-06T11:59:00Z,1,0.9
28,4,OriginTrail use cases,2024-03-06T12:06:00Z,1,0.9
29,4,OriginTrail use cases,2024-03-06T12:06:00Z,1,0.9
30,4,OriginTrail use cases,2024-03-06T12:08:00Z,1,0.9
31,5,BSI collaboration,2024-03-06T12:09:00Z,1,0.9
32,6,CoinGecko categories,2024-03-06T13:23:00Z,1,0.9
33,6,CoinGecko categories,2024-03-06T13:24:00Z,1,0.9
34,6,CoinGecko categories,2024-03-06T13:28:00Z,1,0.9
35,6,CoinGecko categories,2024-03-06T13:28:00Z,1,0.9
36,7,White paper discussion,2024-03-06T13:44:00Z,1,0.9
37,0,Spam Messages,2024-03-06T13:44:00Z,1,1.0
38,0,Spam Messages,2024-03-06T13:44:00Z,1,1.0
39,0,Spam Messages,2024-03-06T13:44:00Z,1,1.0
40,0,Spam Messages,2024-03-06T13:46:00Z,1,1.0
41,0,Spam Messages,2024-03-06T13:56:00Z,1,1.0
42,0,Spam Messages,2024-03-06T13:57:00Z,1,1.0
43,0,Spam Messages,2024-03-06T14:13:00Z,1,1.0
44,0,Spam Messages,2024-03-06T14:13:00Z,1,1.0
45,0,Spam Messages,2024-03-06T14:22:00Z,1,1.0
46,0,Spam Messages,2024-03-06T14:24:00Z,1,1.0
47,0,Spam Messages,2024-03-06T14:25:00Z,1,1.0
48,8,xDai chain nodes,2024-03-06T15:03:00Z,1,0.9
49,8,xDai chain nodes,2024-03-06T15:06:00Z,1,0.9
50,0,Spam Messages,2024-03-06T15:48:00Z,1,1.0
51,9,Paranets discussion,2024-03-06T16:20:00Z,1,0.9
52,0,Spam Messages,2024-03-06T16:53:00Z,1,1.0
53,10,Protocol revenue,2024-03-06T16:55:00Z,1,0.9
54,10,Protocol revenue,2024-03-06T17:11:00Z,1,0.9
55,11,ICO discussion,2024-03-06T17:26:00Z,1,0.9
56,11,ICO discussion,2024-03-06T17:39:00Z,1,0.9
57,11,ICO discussion,2024-03-06T17:48:00Z,1,0.9
58,12,NVIDIA GTC conference,2024-03-06T17:58:00Z,1,0.9
59,11,ICO discussion,2024-03-06T19:38:00Z,1,0.9
60,13,OnTrack podcast,2024-03-06T19:39:00Z,1,0.9
61,11,ICO discussion,2024-03-06T19:41:00Z,1,0.9
62,11,ICO discussion,2024-03-06T19:41:00Z,1,0.9
63,0,Spam Messages,2024-03-06T19:42:00Z,1,1.0
64,0,Spam Messages,2024-03-06T19:42:00Z,1,1.0
65,0,Spam Messages,2024-03-06T19:42:00Z,1,1.0
66,11,ICO discussion,2024-03-06T19:43:00Z,1,0.9
67,11,ICO discussion,2024-03-06T19:44:00Z,1,0.9
68,11,ICO discussion,2024-03-06T19:45:00Z,1,0.9
69,11,ICO discussion,2024-03-06T19:46:00Z,1,0.9
70,11,ICO discussion,2024-03-06T19:48:00Z,1,0.9
71,11,ICO discussion,2024-03-06T19:48:00Z,1,0.9
72,0,Spam Messages,2024-03-06T19:49:00Z,1,1.0
73,0,Spam Messages,2024-03-06T19:58:00Z,1,1.0
74,0,Spam Messages,2024-03-06T20:04:00Z,1,1.0
75,0,Spam Messages,2024-03-06T20:09:00Z,1,1.0
76,11,ICO discussion,2024-03-06T20:40:00Z,1,0.9
77,0,Spam Messages,2024-03-06T21:43:00Z,1,1.0
78,14,TRAC listing discussion,2024-03-06T22:20:00Z,1,0.9
79,14,TRAC listing discussion,2024-03-06T22:20:00Z,1,0.9
80,15,Teleport issue,2024-03-06T22:21:00Z,1,0.9
81,15,Teleport issue,2024-03-06T22:21:00Z,1,0.9
82,0,Spam Messages,2024-03-06T22:25:00Z,1,1.0
83,16,Bankless mention,2024-03-06T23:08:00Z,1,0.9
84,17,TRAC purchase,2024-03-06T23:53:00Z,1,0.9
85,17,TRAC purchase,2024-03-06T23:54:00Z,1,0.9
86,16,Bankless mention,2024-03-06T23:57:00Z,1,0.9
87,18,TRAC Ledger transfer,2024-03-07T02:51:00Z,1,0.9
88,18,TRAC Ledger transfer,2024-03-07T03:04:00Z,1,0.9
89,18,TRAC Ledger transfer,2024-03-07T03:04:00Z,1,0.9
90,18,TRAC Ledger transfer,2024-03-07T03:05:00Z,1,0.9
