message_id,conversation_id,topic,timestamp,labeler_id,confidence
1,1,OBOT Market Cap Discussion,2025-02-11T22:27:00Z,system,0.9
2,1,OBOT Market Cap Discussion,2025-02-11T22:28:00Z,system,0.9
3,1,OBOT Market Cap Discussion,2025-02-11T22:28:00Z,system,0.9
4,1,OBOT Market Cap Discussion,2025-02-11T22:28:00Z,system,0.8
5,0,Spam Messages,2025-02-11T22:29:00Z,system,0.9
6,1,OBOT Market Cap Discussion,2025-02-11T22:30:00Z,system,0.9
7,1,OBOT Market Cap Discussion,2025-02-11T22:30:00Z,system,0.7
8,2,OBOT Ownership Discussion,2025-02-11T22:33:00Z,system,0.9
9,0,Spam Messages,2025-02-11T22:33:00Z,system,1.0
10,2,OBOT Ownership Discussion,2025-02-11T22:33:00Z,system,0.9
11,2,OBOT Ownership Discussion,2025-02-11T22:33:00Z,system,0.9
12,3,MEXC Exchange Query,2025-02-11T22:34:00Z,system,0.8
13,3,MEXC Exchange Query,2025-02-11T22:35:00Z,system,0.8
14,0,Spam Messages,2025-02-11T22:35:00Z,system,0.7
15,4,General Greetings,2025-02-11T22:35:00Z,system,0.9
16,0,Spam Messages,2025-02-11T22:35:00Z,system,1.0
17,3,MEXC Exchange Query,2025-02-11T22:35:00Z,system,0.8
18,0,Spam Messages,2025-02-11T22:35:00Z,system,0.7
19,0,Spam Messages,2025-02-11T22:37:00Z,system,0.8
20,5,Channel Management Discussion,2025-02-11T22:43:00Z,system,0.9
21,0,Spam Messages,2025-02-11T22:43:00Z,system,0.7
22,6,Bot Purchase Inquiry,2025-02-11T22:44:00Z,system,0.9
23,0,Spam Messages,2025-02-11T22:45:00Z,system,1.0
24,6,Bot Purchase Inquiry,2025-02-11T22:45:00Z,system,0.9
25,6,Bot Purchase Inquiry,2025-02-11T22:45:00Z,system,0.8
26,4,General Greetings,2025-02-11T23:01:00Z,system,0.9
27,4,General Greetings,2025-02-11T23:02:00Z,system,0.9
28,4,General Greetings,2025-02-11T23:02:00Z,system,0.9
29,4,General Greetings,2025-02-11T23:02:00Z,system,0.9
30,4,General Greetings,2025-02-11T23:02:00Z,system,0.9
31,0,Spam Messages,2025-02-11T23:02:00Z,system,0.8
32,0,Spam Messages,2025-02-11T23:13:00Z,system,0.8
33,0,Spam Messages,2025-02-11T23:14:00Z,system,0.7
51,1,OBOT/OI Token Swap Concerns,2025-02-09T02:00:00Z,system,0.9
52,1,OBOT/OI Token Swap Concerns,2025-02-09T02:00:00Z,system,0.9
53,1,OBOT/OI Token Swap Concerns,2025-02-09T02:01:00Z,system,0.8
54,2,Token Burn Announcement,2025-02-10T13:44:00Z,system,0.9
55,2,Token Burn Announcement,2025-02-10T13:44:00Z,system,0.9
56,3,Unofficial Instagram Account Discussion,2025-02-10T18:18:00Z,system,0.9
57,3,Unofficial Instagram Account Discussion,2025-02-10T18:18:00Z,system,0.9
58,0,Spam Messages,2025-02-10T19:27:00Z,system,0.9
59,4,OBOT to OI Conversion Details,2025-02-10T23:18:00Z,system,0.9
60,4,OBOT to OI Conversion Details,2025-02-10T23:49:00Z,system,0.9
61,4,OBOT to OI Conversion Details,2025-02-10T23:56:00Z,system,0.9
62,4,OBOT to OI Conversion Details,2025-02-11T00:00:00Z,system,0.9
63,4,OBOT to OI Conversion Details,2025-02-11T00:34:00Z,system,0.9
64,4,OBOT to OI Conversion Details,2025-02-11T00:36:00Z,system,0.9
65,4,OBOT to OI Conversion Details,2025-02-11T00:41:00Z,system,0.9
66,4,OBOT to OI Conversion Details,2025-02-11T00:47:00Z,system,0.9
67,5,O Limitless Summit,2025-02-11T01:05:00Z,system,0.8
68,0,Spam Messages,2025-02-11T02:19:00Z,system,0.9
69,0,Spam Messages,2025-02-11T04:47:00Z,system,0.9
70,0,Spam Messages,2025-02-11T05:01:00Z,system,0.9
71,6,Token Burn Questions,2025-02-11T10:41:00Z,system,0.9
72,0,Spam Messages,2025-02-11T10:43:00Z,system,0.9
73,6,Token Burn Questions,2025-02-11T10:55:00Z,system,0.9
74,0,Spam Messages,2025-02-11T11:26:00Z,system,0.9
75,7,OpenAI Acquisition News,2025-02-11T12:52:00Z,system,0.9
76,0,Spam Messages,2025-02-11T12:56:00Z,system,0.9
77,6,Token Burn Questions,2025-02-11T12:57:00Z,system,0.9
78,8,OI Liquidity Discussion,2025-02-11T13:01:00Z,system,0.8
79,0,Spam Messages,2025-02-11T13:30:00Z,system,0.9
80,0,Spam Messages,2025-02-11T13:30:00Z,system,0.9
81,0,Spam Messages,2025-02-11T13:50:00Z,system,0.9
