id,conv_id
36564,0
36566,0
36568,0
36569,1
36570,1
36571,0
36573,0
36574,0
36575,0
36576,0
36578,0
36580,0
36582,2
36583,2
36587,3
36588,3
36589,3
36590,14
36592,0
36597,5
36599,15
36600,15
36602,16
36603,5
36605,0
36607,6
36608,6
36610,0
36611,3
36613,3
36615,3
36616,7
36617,7
36618,7
36619,7
36620,17
36621,3
36623,17
36626,8
36627,0
36628,0
36630,8
36633,0
36634,0
36635,0
36638,9
36639,9
36640,10
36641,10
36642,0
36644,11
36646,11
36647,12
36648,13
36652,11
36653,11
36654,11
36655,11
36656,11
36657,11
36658,11
36659,11
36660,4
36661,4
36662,4
36663,4
36664,4
