message_id,conversation_id,topic,timestamp,labeler_id,confidence
36564,0,Spam Messages,2025-01-14T01:06:16Z,1,1.0
36566,0,Spam Messages,2025-01-14T01:17:41Z,1,1.0
36568,0,Spam Messages,2025-01-14T01:22:12Z,1,1.0
36569,1,Cryptocurrency Token Discussion,2025-01-14T01:22:56Z,1,0.95
36570,1,Cryptocurrency Token Discussion,2025-01-14T01:25:40Z,1,0.95
36571,0,Spam Messages,2025-01-14T01:36:57Z,1,1.0
36573,0,Spam Messages,2025-01-14T01:55:42Z,1,1.0
36574,0,Spam Messages,2025-01-14T02:05:49Z,1,1.0
36575,0,Spam Messages,2025-01-14T02:22:38Z,1,1.0
36576,0,Spam Messages,2025-01-14T02:30:26Z,1,1.0
36578,0,Spam Messages,2025-01-14T05:17:33Z,1,1.0
36580,0,Spam Messages,2025-01-14T06:46:59Z,1,1.0
36582,2,Cryptocurrency Market Speculation,2025-01-14T09:21:02Z,1,0.9
36583,3,Unidentified Topic,2025-01-14T09:35:58Z,1,0.6
36587,4,Cryptocurrency Project Updates Inquiry,2025-01-14T09:40:36Z,1,0.95
36588,4,Cryptocurrency Project Updates Inquiry,2025-01-14T09:42:06Z,1,0.95
36589,4,Cryptocurrency Project Updates Inquiry,2025-01-14T10:03:49Z,1,0.95
36590,3,Unidentified Topic,2025-01-14T10:11:01Z,1,0.6
36592,5,Cryptocurrency Market Analysis,2025-01-14T11:28:40Z,1,0.95
36597,6,Developer Services Offering,2025-01-14T13:25:45Z,1,0.95
36599,3,Unidentified Topic,2025-01-14T13:33:47Z,1,0.6
36600,4,Cryptocurrency Project Updates Inquiry,2025-01-14T13:35:27Z,1,0.95
36602,3,Unidentified Topic,2025-01-14T14:26:50Z,1,0.6
36603,6,Developer Services Offering,2025-01-14T14:30:19Z,1,0.95
36605,0,Spam Messages,2025-01-14T15:55:11Z,1,1.0
36607,7,Web3 Global Media Event Invitation,2025-01-14T16:47:55Z,1,0.95
36608,7,Web3 Global Media Event Invitation,2025-01-14T16:50:32Z,1,0.95
36610,0,Spam Messages,2025-01-14T17:08:11Z,1,1.0
36611,4,Cryptocurrency Project Updates Inquiry,2025-01-14T18:19:00Z,1,0.95
36613,4,Cryptocurrency Project Updates Inquiry,2025-01-14T18:27:25Z,1,0.95
36615,4,Cryptocurrency Project Updates Inquiry,2025-01-14T18:34:54Z,1,0.95
36616,8,Cryptocurrency Gas Fees Reimbursement,2025-01-14T18:49:09Z,1,0.95
36644,1,Market Strategy Discussion,2025-01-15T07:26:01Z,system,0.95
36646,1,Market Strategy Discussion,2025-01-15T07:47:13Z,system,0.85
36647,2,Community Interaction,2025-01-15T08:16:34Z,system,0.9
36648,2,Community Interaction,2025-01-15T08:16:58Z,system,0.7
36652,3,Direct Communication,2025-01-15T11:38:50Z,system,0.8
36653,3,Direct Communication,2025-01-15T11:42:31Z,system,0.99
36654,3,Direct Communication,2025-01-15T11:43:19Z,system,0.8
36655,2,Community Interaction,2025-01-15T12:38:55Z,system,0.9
36656,1,Market Strategy Discussion,2025-01-15T13:15:46Z,system,0.95
36657,3,Direct Communication,2025-01-15T13:32:51Z,system,0.99
36658,1,Market Strategy Discussion,2025-01-15T13:39:05Z,system,0.95
36659,1,Market Strategy Discussion,2025-01-15T13:41:40Z,system,0.85
36660,4,Community Reminiscing,2025-01-15T13:43:43Z,system,0.9
36661,4,Community Reminiscing,2025-01-15T13:43:54Z,system,0.9
36662,4,Community Reminiscing,2025-01-15T13:44:28Z,system,0.9
36663,4,Community Reminiscing,2025-01-15T13:57:37Z,system,0.9
36664,4,Community Reminiscing,2025-01-15T13:59:11Z,system,0.9
