message_id,conversation_id,topic,timestamp,labeler_id,confidence
36564,0,Spam Messages,2025-01-14T01:06:16Z,system,1.0
36566,0,Spam Messages,2025-01-14T01:17:41Z,system,1.0
36568,0,Spam Messages,2025-01-14T01:22:12Z,system,1.0
36569,1,CERE Token Supply and Use Case Discussion,2025-01-14T01:22:56Z,system,0.9
36570,1,CERE Token Supply and Use Case Discussion,2025-01-14T01:25:40Z,system,0.9
36571,0,Spam Messages,2025-01-14T01:36:57Z,system,1.0
36573,0,Spam Messages,2025-01-14T01:55:42Z,system,1.0
36574,0,Spam Messages,2025-01-14T02:05:49Z,system,1.0
36575,0,Spam Messages,2025-01-14T02:22:38Z,system,1.0
36576,0,Spam Messages,2025-01-14T02:30:26Z,system,1.0
36578,0,Spam Messages,2025-01-14T05:17:33Z,system,1.0
36580,0,Spam Messages,2025-01-14T06:46:59Z,system,1.0
36582,2,Market Sentiment Discussion,2025-01-14T09:21:02Z,system,0.8
36583,2,Market Sentiment Discussion,2025-01-14T09:35:58Z,system,0.7
36587,3,CERE Announcement Discussion,2025-01-14T09:40:36Z,system,0.9
36588,3,CERE Announcement Discussion,2025-01-14T09:42:06Z,system,0.9
36589,3,CERE Announcement Discussion,2025-01-14T10:03:49Z,system,0.9
36590,3,CERE Announcement Discussion,2025-01-14T10:11:01Z,system,0.7
36592,0,Spam Messages,2025-01-14T11:28:40Z,system,1.0
36597,0,Spam Messages,2025-01-14T13:25:45Z,system,1.0
36599,3,CERE Announcement Discussion,2025-01-14T13:33:47Z,system,0.8
36600,3,CERE Announcement Discussion,2025-01-14T13:35:27Z,system,0.8
36602,4,General Greetings,2025-01-14T14:26:50Z,system,0.9
36603,4,General Greetings,2025-01-14T14:labels_20250131_171944_claude35s_thisiscere.csv30:19Z,system,0.9
36605,0,Spam Messages,2025-01-14T15:55:11Z,system,1.0
36607,5,Event Invitation Discussion,2025-01-14T16:47:55Z,system,0.9
36608,5,Event Invitation Discussion,2025-01-14T16:50:32Z,system,0.9
36610,0,Spam Messages,2025-01-14T17:08:11Z,system,1.0
36611,3,CERE Announcement Discussion,2025-01-14T18:19:00Z,system,0.9
36613,3,CERE Announcement Discussion,2025-01-14T18:27:25Z,system,0.9
36615,3,CERE Announcement Discussion,2025-01-14T18:34:54Z,system,0.9
36616,6,Gas Fees Discussion,2025-01-14T18:49:09Z,system,0.9
36644,1,Price defense strategies discussion,2025-01-15T07:26:01Z,system,0.9
36646,1,Price defense strategies discussion,2025-01-15T07:47:13Z,system,0.8
36647,2,Chat activity observation,2025-01-15T08:16:34Z,system,0.9
36648,0,Spam Messages,2025-01-15T08:16:58Z,system,0.7
36652,3,Attempting to get moderator attention,2025-01-15T11:38:50Z,system,0.8
36653,3,Attempting to get moderator attention,2025-01-15T11:42:31Z,system,0.8
36654,3,Attempting to get moderator attention,2025-01-15T11:43:19Z,system,0.8
36655,3,Attempting to get moderator attention,2025-01-15T12:38:55Z,system,0.7
36656,3,Attempting to get moderator attention,2025-01-15T13:15:46Z,system,0.9
36657,3,Attempting to get moderator attention,2025-01-15T13:32:51Z,system,0.9
36658,3,Attempting to get moderator attention,2025-01-15T13:39:05Z,system,0.8
36659,3,Attempting to get moderator attention,2025-01-15T13:41:40Z,system,0.7
36660,4,Reminiscing about 2020 COVID era,2025-01-15T13:43:43Z,system,0.9
36661,4,Reminiscing about 2020 COVID era,2025-01-15T13:43:54Z,system,0.9
36662,4,Reminiscing about 2020 COVID era,2025-01-15T13:44:28Z,system,0.9
36663,4,Reminiscing about 2020 COVID era,2025-01-15T13:57:37Z,system,0.8
36664,4,Reminiscing about 2020 COVID era,2025-01-15T13:59:11Z,system,0.8
