model,topic,information_density,redundancy,relevance,efficiency,overall
143535,Web3 Global Media Event Invitation,8.0,9.0,9.0,8.0,8.5
143535,Cryptocurrency Market Analysis,7.0,8.0,9.0,8.0,8.0
143535,Community Interaction,4.0,7.0,6.0,5.0,5.5
143535,Direct Communication,4.0,7.0,6.0,5.0,5.5
143535,Spam Messages,3.0,4.0,6.0,5.0,4.5
143535,Cryptocurrency Gas Fees Reimbursement,8.0,7.0,9.0,8.0,8.0
143535,Developer Services Offering,7.0,8.0,9.0,8.0,8.0
143535,Market Strategy Discussion,6.0,8.0,7.0,7.0,7.0
143535,Cryptocurrency Project Updates Inquiry,7.0,8.0,8.0,7.0,7.5
143535,Cryptocurrency Token Discussion,5.0,7.0,6.0,6.0,6.0
143535,Unidentified Topic,2.0,8.0,3.0,3.0,4.0
143535,Cryptocurrency Market Speculation,7.0,8.0,8.0,7.0,7.5
143535,Community Reminiscing,7.0,9.0,9.0,8.0,8.25
143535,AVERAGE,5.769230769230769,7.538461538461538,7.3076923076923075,6.538461538461538,6.788461538461538
185300,Cere Network price strategy,7.0,8.0,9.0,7.0,7.75
185300,XRP meme coin and market opportunities,7.0,8.0,8.0,7.0,7.5
185300,Cere Network announcements,6.0,8.0,7.0,7.0,7.0
185300,Moderator role inquiry,8.0,9.0,9.0,9.0,8.75
185300,$cere token supply and use case,8.0,9.0,9.0,8.0,8.5
185300,Developer offering services,6.0,8.0,7.0,7.0,7.0
185300,Spam Messages,4.0,5.0,7.0,6.0,5.5
185300,Greeting,6.0,8.0,9.0,8.0,7.75
185300,Bull run confirmation,6.0,8.0,7.0,7.0,7.0
185300,Community nostalgia,7.0,9.0,8.0,8.0,8.0
185300,Short days and NYSE opening,7.0,8.0,8.0,7.0,7.5
185300,Web3 Global Media event invitation,8.0,9.0,9.0,8.0,8.5
185300,Technical partnership inquiry,8.0,9.0,9.0,9.0,8.75
185300,Expectations from Cere Network,7.0,8.0,9.0,8.0,8.0
185300,Gas fee reimbursement,7.0,9.0,8.0,8.0,8.0
185300,AVERAGE,6.8,8.2,8.2,7.6,7.7
180822,Partnership Inquiry Response,6.0,8.0,4.0,7.0,6.25
180822,Discussion on team's price defense strategy,8.0,7.0,9.0,8.0,8.0
180822,Bot interaction recognition,7.0,8.0,9.0,8.0,8.0
180822,Response to Promotion,6.0,8.0,5.0,7.0,6.5
180822,Reminiscing about past experiences,5.0,8.0,7.0,6.0,6.5
180822,Recognition of user's influence,7.0,8.0,9.0,7.0,7.75
180822,Announcement - X Token Airdrop Event,2.0,4.0,1.0,2.0,2.25
180822,Promotion,2.0,8.0,1.0,3.0,3.5
180822,Volume and price discussion,6.0,7.0,8.0,7.0,7.0
180822,Spam Messages,4.0,8.0,3.0,5.0,5.0
180822,Offer for Developer Services,2.0,8.0,1.0,2.0,3.25
180822,New topic initiation,4.0,7.0,8.0,6.0,6.25
180822,Skepticism towards previous message,7.0,8.0,9.0,8.0,8.0
180822,Agreement on user's influence,3.0,6.0,4.0,4.0,4.25
180822,Agreement on past experiences,4.0,7.0,5.0,5.0,5.25
180822,Confirmation of previous message,6.0,7.0,8.0,7.0,7.0
180822,Giveaway,4.0,7.0,6.0,5.0,5.5
180822,Announcement - Empire XBot Airdrop Event,4.0,5.0,3.0,4.0,4.0
180822,Confirmation of team response,3.0,5.0,4.0,4.0,4.0
180822,Discussion - NSYE Opening Impact,3.0,7.0,1.0,4.0,3.75
180822,Follow-up on team response,7.0,8.0,9.0,8.0,8.0
180822,Team response confirmation,3.0,5.0,4.0,3.0,3.75
180822,Partnership Inquiry,7.0,9.0,8.0,8.0,8.0
180822,Request for team response,5.0,8.0,7.0,6.0,6.5
180822,Recognition of user as OG,7.0,8.0,9.0,8.0,8.0
180822,Discussion on skepticism and need for reassurance,7.0,6.0,8.0,7.0,7.0
180822,AVERAGE,4.961538461538462,7.115384615384615,5.769230769230769,5.730769230769231,5.894230769230769
171944,Event Invitation Discussion,6.0,8.0,7.0,7.0,7.0
171944,CERE Token Supply and Use Case Discussion,8.0,7.0,9.0,7.0,7.75
171944,Spam Messages,5.0,7.0,8.0,7.0,6.75
171944,Reminiscing about 2020 COVID era,8.0,9.0,7.0,8.0,8.0
171944,Chat activity observation,6.0,8.0,7.0,7.0,7.0
171944,CERE Announcement Discussion,6.0,8.0,7.0,7.0,7.0
171944,Price defense strategies discussion,8.0,9.0,9.0,8.0,8.5
171944,Market Sentiment Discussion,6.0,8.0,7.0,7.0,7.0
171944,Attempting to get moderator attention,7.0,8.0,6.0,7.0,7.0
171944,Gas Fees Discussion,6.0,8.0,7.0,7.0,7.0
171944,General Greetings,4.0,7.0,5.0,6.0,5.5
171944,AVERAGE,6.363636363636363,7.909090909090909,7.181818181818182,7.090909090909091,7.136363636363637
