id,conv_id
40001,0
40002,6
40003,0
40004,0
40005,0
40006,1
40007,1
40008,2
40009,1
40010,1
40011,2
40012,2
40013,2
40014,2
40015,2
40016,2
40017,2
40018,2
40019,2
40020,2
40021,2
40022,2
40023,2
40024,2
40025,2
40026,7
40027,7
40028,7
40029,8
40030,3
40031,3
40032,3
40033,5
40034,0
40035,14
40036,0
40037,0
40038,20
40039,21
40040,22
40041,15
40042,15
40043,16
40044,16
40045,16
40046,16
40047,16
40048,16
40049,16
40050,16
40051,0
40052,23
40053,24
40054,25
40055,26
40056,19
40057,19
40058,19
40059,19
40060,9
40061,9
40062,0
40063,9
40064,9
40065,9
40066,9
40067,9
40068,9
40069,9
40070,9
40071,9
40072,9
40073,17
40074,17
40075,17
40076,17
40077,18
40078,0
40079,0
40080,0
40081,0
40082,12
40083,13
40084,10
40085,10
40086,10
40087,10
40088,10
40089,0
40090,0
40091,4
40092,4
40093,4
40094,4
40095,4
40096,4
40097,4
40098,4
40099,4
40100,4
40101,4
40102,4
40103,4
40104,4
40105,4
40106,4
40107,4
40108,4
40109,4
40110,4
40111,4
40112,4
40113,4
40114,4
40115,4
40116,4
40117,4
40118,4
40119,4
40120,4
40121,4
40122,4
40123,4
40124,0
40125,0
40126,0
40127,0
40128,
40129,5
40130,11
40131,11
40132,11
40133,5
40134,5
40135,5
40136,5
40137,5
40138,5
40139,5
40140,5
40141,5
40142,5
40143,5
40144,5
40145,5
40146,5
40147,5
40148,5
40149,5
40150,5
40151,5
40152,5
40153,5
40154,6
40155,5
40156,5
40157,5
40158,5
40159,5
40160,5
40161,5
40162,5
40163,5
