message_id,conversation_id,topic,timestamp,labeler_id,confidence
40001,1,Cryptocurrency Lending Rates,2025-01-28 04:00:00,system,0.95
40002,0,Spam Messages,2025-01-28 06:32:00,system,1.0
40003,2,Bitcoin Price Tickers,2025-01-28 07:00:00,system,0.95
40004,3,Binance Futures Trading Data,2025-01-28 08:00:00,system,0.95
40005,4,Bitcoin Monthly Performance Analysis,2025-01-28 09:07:00,system,0.95
40006,0,Spam Messages,2025-01-28 10:56:00,system,1.0
40007,5,Bitcoin Price Speculation,2025-01-28 11:00:00,system,0.9
40008,6,Nvidia Hardware Controversy,2025-01-28 11:20:00,system,0.9
40009,7,Speculation on Economic and Political Events Impact on Bitcoin Price,2025-01-28 11:20:00,system,0.85
40010,7,Speculation on Economic and Political Events Impact on Bitcoin Price,2025-01-28 11:20:00,system,0.85
40011,6,Nvidia Hardware Controversy,2025-01-28 11:21:00,system,0.9
40012,6,Nvidia Hardware Controversy,2025-01-28 11:21:00,system,0.9
40013,6,Nvidia Hardware Controversy,2025-01-28 11:21:00,system,0.9
40014,6,Nvidia Hardware Controversy,2025-01-28 11:22:00,system,0.9
40015,6,Nvidia Hardware Controversy,2025-01-28 11:22:00,system,0.9
40016,6,Nvidia Hardware Controversy,2025-01-28 11:24:00,system,0.9
40017,6,Nvidia Hardware Controversy,2025-01-28 11:24:00,system,0.9
40018,6,Nvidia Hardware Controversy,2025-01-28 11:25:00,system,0.9
40019,6,Nvidia Hardware Controversy,2025-01-28 11:26:00,system,0.9
40020,6,Nvidia Hardware Controversy,2025-01-28 11:26:00,system,0.9
40021,6,Nvidia Hardware Controversy,2025-01-28 11:28:00,system,0.9
40022,0,Spam Messages,2025-01-28 11:29:00,system,1.0
40023,0,Spam Messages,2025-01-28 11:29:00,system,1.0
40024,0,Spam Messages,2025-01-28 11:29:00,system,1.0
40025,0,Spam Messages,2025-01-28 11:30:00,system,1.0
40026,8,Cryptocurrency Executive Critique,2025-01-28 12:17:00,system,0.9
40027,8,Cryptocurrency Executive Critique,2025-01-28 12:37:00,system,0.9
40028,8,Cryptocurrency Executive Critique,2025-01-28 12:38:00,system,0.9
40029,0,Spam Messages,2025-01-28 12:39:00,system,1.0
40030,9,Life-Changing Book Recommendation,2025-01-28 12:42:00,system,0.85
40031,9,Life-Changing Book Recommendation,2025-01-28 15:23:00,system,0.85
40032,9,Life-Changing Book Recommendation,2025-01-28 15:24:00,system,0.85
40033,0,Spam Messages,2025-01-28 15:25:00,system,1.0
40051,1,"""Cryptocurrency Market Updates""",2025-01-28 19:00:00,1,0.95
40052,2,"""General Reaction to Cryptocurrency News""",2025-01-28 20:08:00,1,0.8
40053,2,"""General Reaction to Cryptocurrency News""",2025-01-28 20:10:00,1,0.8
40054,3,"""Identity of Satoshi Nakamoto""",2025-01-28 20:11:00,1,0.9
40055,4,"""Promotion of Cryptocurrency-Related Event""",2025-01-28 20:20:00,1,0.9
40056,5,"""Discussion on Cryptocurrency Technology (Side Chains)""",2025-01-28 20:22:00,1,0.95
40057,5,"""Discussion on Cryptocurrency Technology (Side Chains)""",2025-01-28 20:23:00,1,0.95
40058,5,"""Discussion on Cryptocurrency Technology (Side Chains)""",2025-01-28 20:23:00,1,0.95
40059,5,"""Discussion on Cryptocurrency Technology (Side Chains)""",2025-01-28 20:24:00,1,0.95
40060,6,"""Elon Musk's Deal with Visa for X Money Account""",2025-01-28 20:25:00,1,0.95
40061,7,"""Reaction to Overhyped Cryptocurrency Projects""",2025-01-28 20:32:00,1,0.85
40062,8,"""Crypto(.).com Delisting Tether's USDT""",2025-01-28 20:58:00,1,0.95
40063,9,"""Discussion on Money and Cryptocurrency""",2025-01-28 21:00:00,1,0.9
40064,9,"""Discussion on Money and Cryptocurrency""",2025-01-28 21:00:00,1,0.9
40065,10,"""Universal Basic Income Coin Concept""",2025-01-28 21:12:00,1,0.9
40066,11,"""Critique of Centralized Cryptocurrencies""",2025-01-28 21:44:00,1,0.95
40067,12,"""Cryptocurrency ETFs and Market Movements""",2025-01-28 22:22:00,1,0.95
40068,12,"""Cryptocurrency ETFs and Market Movements""",2025-01-28 22:22:00,1,0.95
