message_id,conversation_id,topic,timestamp,labeler_id,confidence
40001,1,Crypto Market Data - Lending Rates,2025-01-28 04:00:00,SYSTEM,1.0
40002,0,Spam Messages,2025-01-28 06:32:00,SYSTEM,0.9
40003,1,Crypto Market Data - BTC Price Ticker,2025-01-28 07:00:00,SYSTEM,1.0
40004,1,Crypto Market Data - Binance Futures Ratios,2025-01-28 08:00:00,SYSTEM,1.0
40005,2,Bitcoin Price Discussion and Predictions,2025-01-28 09:07:00,SYSTEM,0.9
40006,2,Bitcoin Price Discussion and Predictions,2025-01-28 10:56:00,SYSTEM,0.8
40007,2,Bitcoin Price Discussion and Predictions,2025-01-28 11:00:00,SYSTEM,0.9
40008,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:20:00,SYSTEM,1.0
40009,2,Bitcoin Price Discussion and Predictions,2025-01-28 11:20:00,SYSTEM,0.8
40010,2,Bitcoin Price Discussion and Predictions,2025-01-28 11:20:00,SYSTEM,0.7
40011,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:21:00,SYSTEM,1.0
40012,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:21:00,SYSTEM,1.0
40013,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:21:00,SYSTEM,1.0
40014,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:22:00,SYSTEM,1.0
40015,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:22:00,SYSTEM,1.0
40016,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:24:00,SYSTEM,0.9
40017,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:24:00,SYSTEM,0.9
40018,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:25:00,SYSTEM,0.9
40019,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:26:00,SYSTEM,0.8
40020,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:26:00,SYSTEM,0.8
40021,3,NVIDIA AI Hardware Sales Discussion,2025-01-28 11:28:00,SYSTEM,0.8
40022,0,Spam Messages,2025-01-28 11:29:00,SYSTEM,0.9
