model,topic,information_density,redundancy,relevance,efficiency,overall
gpt4o,Defense Against Being a Bot,7.0,8.0,9.0,8.0,8.0
gpt4o,App Availability News,7.0,8.0,8.0,8.0,7.75
gpt4o,EU Policy News,6.0,8.0,7.0,7.0,7.0
gpt4o,Financial News,4.0,8.0,5.0,6.0,5.75
gpt4o,Bitcoin Price Tickers,7.0,8.0,9.0,8.0,8.0
gpt4o,Nvidia Hardware Controversy,6.0,8.0,5.0,7.0,6.5
gpt4o,"""Reaction to Overhyped Cryptocurrency Projects""",3.0,8.0,2.0,3.0,4.0
gpt4o,"""Discussion on Money and Cryptocurrency""",6.0,7.0,8.0,7.0,7.0
gpt4o,"""General Reaction to Cryptocurrency News""",4.0,7.0,3.0,4.0,4.5
gpt4o,"""Binance Futures Trading Data""",7.0,8.0,9.0,8.0,8.0
gpt4o,Openness to Learning,7.0,8.0,9.0,8.0,8.0
gpt4o,Cryptocurrency Inquiry,4.0,8.0,3.0,5.0,5.0
gpt4o,Endorsement of Bybit,7.0,8.0,8.0,8.0,7.75
gpt4o,Pop Culture Reference,5.0,8.0,7.0,6.0,6.5
gpt4o,Islamic Finance,6.0,8.0,7.0,7.0,7.0
gpt4o,Mars Colonization,6.0,8.0,7.0,7.0,7.0
gpt4o,Media Group's Fintech Brand,7.0,8.0,6.0,7.0,7.0
gpt4o,Bitcoin Price Speculation,8.0,9.0,9.0,8.0,8.5
gpt4o,Expression of Surprise,6.0,8.0,7.0,7.0,7.0
gpt4o,"""Spam Messages""",6.0,8.0,9.0,7.0,7.5
gpt4o,"""Discussion on Cryptocurrency Technology (Side Chains)""",7.0,8.0,9.0,7.0,7.75
gpt4o,Blockchain Technology,3.0,7.0,2.0,4.0,4.0
gpt4o,Cryptocurrency,3.0,8.0,4.0,3.0,4.5
gpt4o,Clarification on Shariah Compliant Blockchain,8.0,7.0,9.0,7.0,7.75
gpt4o,Comparison of Crypto Platforms,4.0,8.0,3.0,4.0,4.75
gpt4o,Crypto Platforms,4.0,7.0,5.0,6.0,5.5
gpt4o,"""Humor and Sarcasm in Cryptocurrency Community""",8.0,9.0,9.0,8.0,8.5
gpt4o,"""Cryptocurrency Mining Hardware""",7.0,8.0,9.0,8.0,8.0
gpt4o,Binance Futures Trading Data,7.0,8.0,9.0,8.0,8.0
gpt4o,Spam Messages,5.0,8.0,7.0,7.0,6.75
gpt4o,Cultural Exchange,4.0,8.0,5.0,6.0,5.75
gpt4o,Cryptocurrency Lending Rates,8.0,9.0,9.0,8.0,8.5
gpt4o,Shariah Compliant Investments,8.0,9.0,10.0,9.0,9.0
gpt4o,Greeting Exchange,5.0,8.0,7.0,6.0,6.5
gpt4o,Light-hearted Response,6.0,8.0,7.0,7.0,7.0
gpt4o,"""Elon Musk's Deal with Visa for X Money Account""",8.0,9.0,10.0,8.0,8.75
gpt4o,"""Promotion of Cryptocurrency-Related Event""",8.0,9.0,7.0,8.0,8.0
gpt4o,Financial Services Expansion,6.0,8.0,7.0,7.0,7.0
gpt4o,"""Critique of Centralized Cryptocurrencies""",8.0,9.0,9.0,8.0,8.5
gpt4o,Food Ingredients,5.0,8.0,7.0,6.0,6.5
gpt4o,National Pride in Cryptocurrency,4.0,7.0,3.0,4.0,4.5
gpt4o,Emotional Reaction,4.0,8.0,7.0,6.0,6.25
gpt4o,"""Crypto(.).com Delisting Tether's USDT""",9.0,8.0,10.0,9.0,9.0
gpt4o,"""Cryptocurrency Market Updates""",7.0,8.0,9.0,8.0,8.0
gpt4o,"""Universal Basic Income Coin Concept""",7.0,8.0,10.0,8.0,8.25
